date,event,category
2003-03-20,Iraq War begins,Geopolitical Conflict
2008-09-15,Global Financial Crisis escalation,Economic Shock
2011-02-15,Arab Spring unrest in oil-producing regions,Geopolitical Conflict
2014-11-27,OPEC decision not to cut production,OPEC Policy
2016-01-16,International sanctions on Iran lifted,Sanctions
2018-05-08,US withdraws from Iran nuclear deal,Sanctions
2020-03-11,COVID-19 declared global pandemic,Economic Shock
2020-04-12,OPEC+ agrees historic production cuts,OPEC Policy
2021-10-01,Global energy supply chain disruption,Economic Shock
2022-02-24,Russia invades Ukraine,Geopolitical Conflict
